date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_points_home,previous_points_home,rank_home,rank_change_home,total_points_away,previous_points_away,rank_away,rank_change_away
2018-09-05,Slovakia,Denmark,3.0,0.0,Friendly,Trnava,Slovakia,False,1493.0,1496.0,26.0,-2.0,1580.0,1556.0,9.0,-3.0
2018-09-06,Germany,France,0.0,0.0,UEFA Nations League,Munich,Germany,False,1561.0,1600.0,15.0,14.0,1726.0,1576.0,1.0,-6.0
2018-09-06,Wales,Republic of Ireland,4.0,1.0,UEFA Nations League,Cardiff,Wales,False,1536.0,1536.0,19.0,1.0,1484.0,1484.0,29.0,-2.0
2018-09-06,Netherlands,Peru,2.0,1.0,Friendly,Amsterdam,Netherlands,False,1540.0,1540.0,17.0,0.0,1535.0,1560.0,20.0,9.0
2018-09-06,Portugal,Croatia,1.0,1.0,Friendly,Faro-Loulé,Portugal,False,1599.0,1588.0,7.0,3.0,1643.0,1528.0,4.0,-16.0
2018-09-07,Italy,Poland,1.0,1.0,UEFA Nations League,Bologna,Italy,False,1532.0,1532.0,21.0,2.0,1538.0,1572.0,18.0,10.0
2018-09-07,Lithuania,Serbia,0.0,1.0,UEFA Nations League,Vilnius,Lithuania,False,1130.0,1132.0,127.0,1.0,1459.0,1472.0,36.0,2.0
2018-09-07,Argentina,Guatemala,3.0,0.0,Friendly,Los Angeles,United States,True,1574.0,1584.0,11.0,6.0,1064.0,1064.0,146.0,0.0
2018-09-07,Ecuador,Jamaica,2.0,0.0,Friendly,Harrison,United States,True,1376.0,1376.0,60.0,0.0,1400.0,1400.0,54.0,0.0
2018-09-07,South Korea,Costa Rica,2.0,0.0,Friendly,Goyang,South Korea,False,1387.0,1388.0,57.0,0.0,1471.0,1516.0,32.0,9.0
2018-09-07,Mexico,Uruguay,1.0,4.0,Friendly,Houston,United States,True,1560.0,1548.0,16.0,1.0,1627.0,1552.0,5.0,-9.0
